Date,Hour,SST,Press
2002-01-08,22,11.4,1012.92
2002-01-08,23,11.42,1013.25
2002-01-09,0,11.51,1013.67
2002-01-09,1,11.59,1013.83
2002-01-09,2,11.5,1014.0
2002-01-09,3,11.48,1014.08
2002-01-09,4,11.48,1014.0
2002-01-09,5,11.5,1014.58
2002-01-09,6,11.58,1015.0
2002-01-09,7,11.56,1015.92
2002-01-09,8,11.43,1016.0
2002-01-09,9,11.36,1016.83
2002-01-09,10,11.3,1017.0
2002-01-09,11,11.3,1017.0
2002-01-09,12,11.29,1016.33
2002-01-09,13,11.29,1015.58
2002-01-09,14,11.3,1015.17
2002-01-09,15,11.35,1015.92
2002-01-09,16,11.38,1015.42
2002-01-09,17,11.38,1015.92
2002-01-09,18,11.32,1016.0
2002-01-09,19,11.36,1016.0
2002-01-09,20,11.36,1016.0
2002-01-09,21,11.3,1015.08
2002-01-09,22,11.38,1015.0
2002-01-09,23,11.39,1015.0
2002-01-10,0,11.4,1014.67
2002-01-10,1,11.4,1014.0
2002-01-10,2,11.4,1014.0
2002-01-10,3,11.4,1014.0
2002-01-10,4,11.4,1013.08
2002-01-10,5,11.33,1013.0
2002-01-10,6,11.33,1013.0
2002-01-10,7,11.39,1013.0
2002-01-10,8,11.36,1013.0
2002-01-10,9,11.38,1013.0
2002-01-10,10,11.31,1012.75
2002-01-10,11,11.3,1011.67
2002-01-10,12,11.3,1010.5
2002-01-10,13,11.3,1009.33
2002-01-10,14,11.39,1008.67
2002-01-10,15,11.4,1008.0
2002-01-10,16,11.4,1007.25
2002-01-10,17,11.42,1007.0
2002-01-10,18,11.5,1006.58
2002-01-10,19,11.5,1006.17
2002-01-10,20,11.5,1006.0
2002-01-10,21,11.56,1005.5
2002-01-10,22,11.6,1005.0
2002-01-10,23,11.6,1005.0
2002-01-11,0,11.6,1004.92
2002-01-11,1,11.6,1004.92
2002-01-11,2,11.68,1005.0
2002-01-11,3,11.7,1005.0
2002-01-11,4,11.7,1005.0
2002-01-11,5,11.7,1005.0
2002-01-11,6,11.7,1005.92
2002-01-11,7,11.7,1007.0
2002-01-11,8,11.63,1008.0
2002-01-11,9,11.58,1009.23
2002-01-11,10,11.5,1010.0
2002-01-11,11,11.5,1010.58
2002-01-11,12,11.5,1010.67
2002-01-11,13,11.48,1010.0
2002-01-11,14,11.41,1010.17
2002-01-11,15,11.44,1010.08
2002-01-11,16,11.4,1011.0
2002-01-11,17,11.49,1011.0
2002-01-11,18,11.5,1011.0
2002-01-11,19,11.5,1011.25
2002-01-11,20,11.45,1011.08
2002-01-11,21,11.4,1011.0
2002-01-11,22,11.4,1011.08
2002-01-11,23,11.4,1012.0
2002-01-12,0,11.4,1011.25
2002-01-12,1,11.31,1011.17
2002-01-12,2,11.2,1012.0
2002-01-12,3,11.2,1011.83
2002-01-12,4,11.2,1011.83
2002-01-12,5,11.27,1011.5
2002-01-12,6,11.29,1012.42
2002-01-12,7,11.2,1013.08
2002-01-12,8,11.2,1014.0
2002-01-12,9,11.18,1014.75
2002-01-12,10,11.2,1015.58
2002-01-12,11,11.2,1016.0
2002-01-12,12,11.2,1016.0
2002-01-12,13,11.2,1015.0
2002-01-12,14,11.3,1015.0
2002-01-12,15,11.3,1015.83
2002-01-12,16,11.3,1016.0
2002-01-12,17,11.3,1016.25
2002-01-12,18,11.3,1016.83
2002-01-12,19,11.28,1017.0
2002-01-12,20,11.2,1017.0
2002-01-12,21,11.2,1017.0
2002-01-12,22,11.2,1017.0
2002-01-12,23,11.25,1017.0
2002-01-13,0,11.3,1016.92
2002-01-13,1,11.3,1017.0
2002-01-13,2,11.33,1017.0
2002-01-13,3,11.4,1017.0
2002-01-13,4,11.4,1017.0
2002-01-13,5,11.4,1017.25
2002-01-13,6,11.4,1018.42
2002-01-13,7,11.4,1019.75
2002-01-13,8,11.4,1020.42
2002-01-13,9,11.43,1021.85
2002-01-13,10,11.5,1022.75
2002-01-13,11,11.5,1023.0
2002-01-13,12,11.6,1023.0
2002-01-13,13,11.6,1023.0
2002-01-13,14,11.63,1024.0
2002-01-13,15,11.7,1024.58
2002-01-13,16,11.7,1025.42
2002-01-13,17,11.7,1026.0
2002-01-13,18,11.7,1025.83
2002-01-13,19,11.7,1026.0
2002-01-13,20,11.61,1026.0
2002-01-13,21,11.6,1026.0
2002-01-13,22,11.6,1026.0
2002-01-13,23,11.6,1026.0
2002-01-14,0,11.69,1025.67
2002-01-14,1,11.7,1025.25
2002-01-14,2,11.7,1025.83
2002-01-14,3,11.7,1024.83
2002-01-14,4,11.7,1024.0
2002-01-14,5,11.7,1024.0
2002-01-14,6,11.7,1024.0
2002-01-14,7,11.68,1024.0
2002-01-14,8,11.6,1024.0
2002-01-14,9,11.6,1023.17
2002-01-14,10,11.6,1023.33
2002-01-14,11,11.6,1023.5
2002-01-14,12,11.6,1021.75
2002-01-14,13,11.6,1020.5
2002-01-14,14,11.6,1020.0
2002-01-14,15,11.6,1019.83
2002-01-14,16,11.6,1019.0
2002-01-14,17,11.6,1019.0
2002-01-14,18,11.6,1019.0
2002-01-14,19,11.6,1019.0
2002-01-14,20,11.6,1018.42
2002-01-14,21,11.6,1017.5
2002-01-14,22,11.6,1018.0
2002-01-14,23,11.6,1018.0
2002-01-15,0,11.59,1017.08
2002-01-15,1,11.51,1016.33
2002-01-15,2,11.5,1016.0
2002-01-15,3,11.5,1016.0
2002-01-15,4,11.5,1015.92
2002-01-15,5,11.5,1015.08
2002-01-15,6,11.5,1015.0
2002-01-15,7,11.5,1014.42
2002-01-15,8,11.6,1014.42
2002-01-15,9,11.6,1014.38
2002-01-15,10,11.6,1014.5
2002-01-15,11,11.7,1013.92
2002-01-15,12,11.7,1012.58
2002-01-15,13,11.73,1011.17
2002-01-15,14,11.8,1011.0
2002-01-15,15,11.8,1010.42
2002-01-15,16,11.8,1010.67
2002-01-15,17,11.8,1011.92
2002-01-15,18,11.8,1012.75
2002-01-15,19,11.8,1013.0
2002-01-15,20,11.78,1013.0
2002-01-15,21,11.7,1013.08
2002-01-15,22,11.7,1013.0
2002-01-15,23,11.7,1012.92
2002-01-16,0,11.7,1012.75
2002-01-16,1,11.7,1012.08
2002-01-16,2,11.7,1011.58
2002-01-16,3,11.7,1011.08
2002-01-16,4,11.6,1010.25
2002-01-16,5,11.6,1010.42
2002-01-16,6,11.6,1010.83
2002-01-16,7,11.56,1012.08
2002-01-16,8,11.58,1011.83
2002-01-16,9,11.6,1011.75
2002-01-16,10,11.58,1012.0
2002-01-16,11,11.6,1012.25
2002-01-16,12,11.6,1011.83
2002-01-16,13,11.6,1011.0
2002-01-16,14,11.6,1011.0
2002-01-16,15,11.6,1011.0
2002-01-16,16,11.48,1011.92
2002-01-16,17,11.4,1012.67
2002-01-16,18,11.4,1012.83
2002-01-16,19,11.4,1013.0
2002-01-16,20,11.4,1013.58
2002-01-16,21,11.33,1013.92
2002-01-16,22,11.3,1013.92
2002-01-16,23,11.25,1013.92
2002-01-17,0,11.07,1013.83
2002-01-17,1,11.05,1014.17
2002-01-17,2,11.1,1015.0
2002-01-17,3,11.11,1014.92
2002-01-17,4,11.1,1014.75
2002-01-17,5,11.1,1014.67
2002-01-17,6,11.1,1015.0
2002-01-17,7,11.1,1015.25
2002-01-17,8,11.1,1015.92
2002-01-17,9,11.1,1016.0
2002-01-17,10,11.1,1016.75
2002-01-17,11,11.1,1017.0
2002-01-17,12,11.16,1016.42
2002-01-17,13,11.13,1016.0
2002-01-17,14,11.05,1016.0
2002-01-17,15,11,1016.08
2002-01-17,16,11,1017.0
2002-01-17,17,11,1017.0
2002-01-17,18,11.08,1017.0
2002-01-17,19,11.1,1017.08
2002-01-17,20,11.1,1017.83
2002-01-17,21,11.1,1018.0
2002-01-17,22,11.1,1018.0
2002-01-17,23,11.1,1018.0
2002-01-18,0,11.1,1018.0
2002-01-18,1,11.08,1018.0
2002-01-18,2,11,1018.0
2002-01-18,3,11,1018.0
2002-01-18,4,11,1018.08
2002-01-18,5,11,1018.0
2002-01-18,6,11,1018.75
2002-01-18,7,11,1019.0
2002-01-18,8,11,1019.42
2002-01-18,9,11,1020.0
2002-01-18,10,11.01,1020.0
2002-01-18,11,11.1,1020.67
2002-01-18,12,11.1,1020.0
2002-01-18,13,11.14,1020.0
2002-01-18,14,11.2,1019.92
2002-01-18,15,11.2,1020.08
2002-01-18,16,11.2,1021.0
2002-01-18,17,11.2,1021.58
2002-01-18,18,11.2,1022.0
2002-01-18,19,11.2,1022.33
2002-01-18,20,11.2,1023.0
2002-01-18,21,11.2,1023.0
2002-01-18,22,11.2,1023.0
2002-01-18,23,11.2,1023.08
2002-01-19,0,11.19,1023.08
2002-01-19,1,11.2,1023.0
2002-01-19,2,11.18,1023.0
2002-01-19,3,11.1,1023.25
2002-01-19,4,11.1,1023.83
2002-01-19,5,11.1,1024.0
2002-01-19,6,11.1,1024.0
2002-01-19,7,11.1,1024.0
2002-01-19,8,11.1,1024.5
2002-01-19,9,11.1,1024.33
2002-01-19,10,11.1,1024.67
2002-01-19,11,11.1,1024.0
2002-01-19,12,11.1,1023.58
2002-01-19,13,11.1,1023.0
2002-01-19,14,11.1,1022.75
2002-01-19,15,11.1,1023.0
2002-01-19,16,11.1,1023.0
2002-01-19,17,11.1,1023.42
2002-01-19,18,11.08,1024.0
2002-01-19,19,10.98,1024.0
2002-01-19,20,10.9,1024.0
2002-01-19,21,10.9,1024.0
2002-01-19,22,10.87,1023.0
2002-01-19,23,10.8,1023.33
2002-01-20,0,10.8,1023.0
2002-01-20,1,10.83,1023.0
2002-01-20,2,10.88,1022.75
2002-01-20,3,10.88,1022.0
2002-01-20,4,10.86,1022.0
2002-01-20,5,10.78,1022.0
2002-01-20,6,10.8,1022.0
2002-01-20,7,10.74,1022.0
2002-01-20,8,10.7,1022.0
2002-01-20,9,10.71,1021.92
2002-01-20,10,10.8,1021.0
2002-01-20,11,10.88,1020.25
2002-01-20,12,10.93,1019.17
2002-01-20,13,11,1017.58
2002-01-20,14,11.01,1016.25
2002-01-20,15,11.1,1016.0
2002-01-20,16,11.1,1016.0
2002-01-20,17,11.1,1015.0
2002-01-20,18,11.11,1015.0
2002-01-20,19,11.2,1014.58
2002-01-20,20,11.2,1014.0
2002-01-20,21,11.2,1013.58
2002-01-20,22,11.13,1013.0
2002-01-20,23,11.1,1012.5
2002-01-21,0,11.1,1011.67
2002-01-21,1,11.1,1010.83
2002-01-21,2,11.1,1010.0
2002-01-21,3,11.1,1009.75
2002-01-21,4,11.18,1009.0
2002-01-21,5,11.19,1008.25
2002-01-21,6,11.18,1008.17
2002-01-21,7,10.94,1008.42
2002-01-21,8,10.8,1008.0
2002-01-21,9,10.86,1008.0
2002-01-21,10,10.83,1007.58
2002-01-21,11,10.8,1006.83
2002-01-21,12,10.8,1006.08
2002-01-21,13,10.8,1005.08
2002-01-21,14,10.8,1004.92
2002-01-21,15,10.8,1005.0
2002-01-21,16,10.8,1005.33
2002-01-21,17,10.83,1006.0
2002-01-21,18,10.97,1006.25
2002-01-21,19,11,1007.0
2002-01-21,20,10.9,1007.0
2002-01-21,21,10.88,1006.33
2002-01-21,22,10.97,1006.0
2002-01-21,23,11,1006.0
2002-01-22,0,10.85,1006.0
2002-01-22,1,10.79,1006.0
2002-01-22,2,10.7,1006.0
2002-01-22,3,10.59,1006.58
2002-01-22,4,10.68,1006.0
2002-01-22,5,10.8,1006.0
2002-01-22,6,10.83,1006.0
2002-01-22,7,10.8,1006.67
2002-01-22,8,10.8,1007.0
2002-01-22,9,10.8,1007.46
2002-01-22,10,10.8,1008.0
2002-01-22,11,10.9,1009.0
2002-01-22,12,10.94,1008.25
2002-01-22,13,11,1008.0
2002-01-22,14,10.94,1008.0
2002-01-22,15,10.9,1008.17
2002-01-22,16,10.9,1009.0
2002-01-22,17,10.9,1009.5
2002-01-22,18,10.9,1010.0
2002-01-22,19,10.93,1010.0
2002-01-22,20,11,1010.0
2002-01-22,21,11,1010.0
2002-01-22,22,10.96,1010.0
2002-01-22,23,10.96,1010.83
2002-01-23,0,10.94,1010.58
2002-01-23,1,10.79,1010.08
2002-01-23,2,10.7,1011.0
2002-01-23,3,10.79,1011.0
2002-01-23,4,10.8,1011.0
2002-01-23,5,10.8,1011.0
2002-01-23,6,10.8,1011.0
2002-01-23,7,10.72,1011.17
2002-01-23,8,10.7,1012.0
2002-01-23,9,10.7,1012.92
2002-01-23,10,10.7,1013.83
2002-01-23,11,10.7,1014.0
2002-01-23,12,10.7,1014.0
2002-01-23,13,10.7,1014.0
2002-01-23,14,10.7,1014.0
2002-01-23,15,10.79,1014.5
2002-01-23,16,10.8,1015.08
2002-01-23,17,10.8,1015.92
2002-01-23,18,10.87,1016.0
2002-01-23,19,10.9,1016.92
2002-01-23,20,10.97,1017.0
2002-01-23,21,11.01,1017.0
2002-01-23,22,11.1,1017.0
2002-01-23,23,11.1,1017.0
2002-01-24,0,11.1,1017.33
2002-01-24,1,11.1,1017.83
2002-01-24,2,11.1,1018.0
2002-01-24,3,11.1,1018.0
2002-01-24,4,11.15,1018.0
2002-01-24,5,11.2,1018.83
2002-01-24,6,11.2,1019.0
2002-01-24,7,11.19,1019.5
2002-01-24,8,11.1,1020.0
2002-01-24,9,11.1,1020.83
2002-01-24,10,11.1,1021.75
2002-01-24,11,11.1,1022.0
2002-01-24,12,11.1,1021.42
2002-01-24,13,11.1,1021.0
2002-01-24,14,11.1,1021.0
2002-01-24,15,11.17,1021.0
2002-01-24,16,11.2,1021.75
2002-01-24,17,11.2,1022.08
2002-01-24,18,11.2,1022.92
2002-01-24,19,11.2,1023.17
2002-01-24,20,11.2,1024.0
2002-01-24,21,11.2,1024.0
2002-01-24,22,11.2,1024.83
2002-01-24,23,11.2,1025.17
2002-01-25,0,11.2,1025.17
2002-01-25,1,11.21,1025.0
2002-01-25,2,11.3,1025.5
2002-01-25,3,11.3,1025.33
2002-01-25,4,11.3,1025.0
2002-01-25,5,11.3,1025.42
2002-01-25,6,11.3,1026.0
2002-01-25,7,11.3,1026.58
2002-01-25,8,11.3,1027.0
2002-01-25,9,11.3,1027.77
2002-01-25,10,11.21,1028.42
2002-01-25,11,11.19,1028.25
2002-01-25,12,11.1,1027.5
2002-01-25,13,11.1,1027.0
2002-01-25,14,11.1,1027.0
2002-01-25,15,11.1,1027.0
2002-01-25,16,11.1,1027.0
2002-01-25,17,11.1,1027.0
2002-01-25,18,11.1,1027.0
2002-01-25,19,11.1,1027.67
2002-01-25,20,11.1,1027.75
2002-01-25,21,11.1,1028.0
2002-01-25,22,11.1,1027.5
2002-01-25,23,11.1,1027.0
2002-01-26,0,11.1,1026.5
2002-01-26,1,11.1,1026.0
2002-01-26,2,11.1,1026.0
2002-01-26,3,11.1,1025.08
2002-01-26,4,11.1,1024.83
2002-01-26,5,11.17,1024.08
2002-01-26,6,11.2,1024.0
2002-01-26,7,11.2,1024.0
2002-01-26,8,11.2,1024.0
2002-01-26,9,11.2,1023.92
2002-01-26,10,11.2,1023.33
2002-01-26,11,11.2,1022.33
2002-01-26,12,11.2,1020.83
2002-01-26,13,11.17,1019.5
2002-01-26,14,11.13,1018.08
2002-01-26,15,11.2,1017.67
2002-01-26,16,11.2,1017.25
2002-01-26,17,11.2,1017.33
2002-01-26,18,11.23,1016.83
2002-01-26,19,11.3,1016.0
2002-01-26,20,11.25,1016.0
2002-01-26,21,11.17,1015.83
2002-01-26,22,11.1,1015.17
2002-01-26,23,11.1,1014.33
2002-01-27,0,10.98,1013.67
2002-01-27,1,10.9,1013.0
2002-01-27,2,10.9,1013.0
2002-01-27,3,10.9,1012.0
2002-01-27,4,10.9,1012.0
2002-01-27,5,11,1012.33
2002-01-27,6,11.05,1013.0
2002-01-27,7,11.18,1012.92
2002-01-27,8,11.28,1012.92
2002-01-27,9,11.35,1013.08
2002-01-27,10,11.4,1013.58
2002-01-27,11,11.4,1013.67
2002-01-27,12,11.33,1012.75
2002-01-27,13,11.3,1012.0
2002-01-27,14,11.3,1012.0
2002-01-27,15,11.33,1012.0
2002-01-27,16,11.4,1012.25
2002-01-27,17,11.4,1013.0
2002-01-27,18,11.4,1013.25
2002-01-27,19,11.4,1014.0
2002-01-27,20,11.4,1014.0
2002-01-27,21,11.4,1014.5
2002-01-27,22,11.43,1014.0
2002-01-27,23,11.5,1014.0
2002-01-28,0,11.5,1014.0
2002-01-28,1,11.5,1014.0
2002-01-28,2,11.5,1014.0
2002-01-28,3,11.5,1013.83
2002-01-28,4,11.5,1013.0
2002-01-28,5,11.5,1013.33
2002-01-28,6,11.5,1013.42
2002-01-28,7,11.5,1013.0
2002-01-28,8,11.5,1013.75
2002-01-28,9,11.5,1014.0
2002-01-28,10,11.5,1014.0
2002-01-28,11,11.42,1013.67
2002-01-28,12,11.4,1013.0
2002-01-28,13,11.4,1012.25
2002-01-28,14,11.4,1012.0
2002-01-28,15,11.4,1012.42
2002-01-28,16,11.4,1012.92
2002-01-28,17,11.4,1013.0
2002-01-28,18,11.4,1013.5
2002-01-28,19,11.4,1014.0
2002-01-28,20,11.4,1014.5
2002-01-28,21,11.4,1015.0
2002-01-28,22,11.4,1015.0
2002-01-28,23,11.4,1015.0
2002-01-29,0,11.4,1015.0
2002-01-29,1,11.4,1015.0
2002-01-29,2,11.4,1015.33
2002-01-29,3,11.4,1015.17
2002-01-29,4,11.37,1015.0
2002-01-29,5,11.3,1015.0
2002-01-29,6,11.3,1015.33
2002-01-29,7,11.3,1016.0
2002-01-29,8,11.25,1016.42
2002-01-29,9,11.3,1017.0
2002-01-29,10,11.3,1017.17
2002-01-29,11,11.27,1017.92
2002-01-29,12,11.2,1017.17
2002-01-29,13,11.2,1017.0
2002-01-29,14,11.2,1017.0
2002-01-29,15,11.18,1017.0
2002-01-29,16,11.17,1017.0
2002-01-29,17,11.2,1017.83
2002-01-29,18,11.2,1018.0
2002-01-29,19,11.2,1018.0
2002-01-29,20,11.2,1018.0
2002-01-29,21,11.11,1018.0
2002-01-29,22,11.1,1018.0
2002-01-29,23,11.1,1017.33
2002-01-30,0,11.1,1017.0
2002-01-30,1,11.1,1016.08
2002-01-30,2,11.1,1016.0
2002-01-30,3,11.02,1015.42
2002-01-30,4,11,1015.0
2002-01-30,5,11,1015.08
2002-01-30,6,11.03,1015.5
2002-01-30,7,11.1,1015.25
2002-01-30,8,11.1,1016.08
2002-01-30,9,11.01,1016.62
2002-01-30,10,10.89,1017.33
2002-01-30,11,10.8,1017.08
2002-01-30,12,10.73,1017.25
2002-01-30,13,10.7,1017.08
2002-01-30,14,10.7,1017.0
2002-01-30,15,10.7,1017.33
2002-01-30,16,10.7,1018.08
2002-01-30,17,10.7,1019.0
2002-01-30,18,10.76,1019.75
2002-01-30,19,10.8,1020.0
2002-01-30,20,10.8,1020.75
2002-01-30,21,10.8,1021.17
2002-01-30,22,10.8,1022.0
2002-01-30,23,10.8,1022.0
2002-01-31,0,10.8,1022.08
2002-01-31,1,10.8,1022.33
2002-01-31,2,10.7,1022.67
2002-01-31,3,10.72,1022.5
2002-01-31,4,10.8,1022.08
2002-01-31,5,10.8,1022.25
2002-01-31,6,10.8,1023.0
2002-01-31,7,10.8,1023.0
2002-01-31,8,10.8,1023.33
2002-01-31,9,10.8,1024.0
2002-01-31,10,10.9,1024.0
2002-01-31,11,10.9,1024.0
2002-01-31,12,10.9,1023.42
2002-01-31,13,10.88,1023.0
2002-01-31,14,10.8,1023.0
2002-01-31,15,10.8,1023.0
2002-01-31,16,10.8,1023.0
2002-01-31,21,10.8,1024.0
2002-01-31,22,10.8,1024.0
2002-01-31,23,10.8,1024.0
2002-02-01,0,10.8,1023.86
2002-02-01,1,10.8,1023.33
2002-02-01,2,10.8,1023.0
2002-02-01,3,10.8,1023.0
2002-02-01,4,10.79,1023.0
2002-02-01,5,10.69,1022.0
2002-02-01,6,10.6,1022.83
2002-02-01,7,10.58,1023.0
2002-02-01,8,10.52,1023.0
2002-02-01,9,10.5,1023.0
2002-02-01,10,10.48,1022.6666666666666
2002-02-01,11,10.4,1022.3333333333334
2002-02-01,12,10.4,1022.0
2002-02-01,13,10.4,1022.0
2002-02-01,14,10.41,1022.0
2002-02-01,15,10.42,1022.0
2002-02-01,16,10.43,1021.959090909091
2002-02-01,17,10.5,1021.9181818181818
2002-02-01,18,10.5,1021.8772727272727
2002-02-01,19,10.5,1021.8363636363637
2002-02-01,20,10.53,1021.7954545454545
2002-02-01,21,10.5,1021.7545454545455
2002-02-01,22,10.5,1021.7136363636363
2002-02-01,23,10.5,1021.6727272727272
2002-02-02,0,10.4,1021.6318181818182
2002-02-02,1,10.4,1021.590909090909
2002-02-02,2,10.41,1021.55
2002-02-02,3,10.38,1021.08
2002-02-02,4,10.4,1021.0
2002-02-02,5,10.48,1021.0
2002-02-02,6,10.52,1021.67
2002-02-02,7,10.57,1022.0
2002-02-02,8,10.6,1022.0
2002-02-02,9,10.6,1022.0
2002-02-02,10,10.6,1023.0
2002-02-02,11,10.6,1023.0
2002-02-02,12,10.6,1022.08
